id,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_duration_ms,track_time_signature
5NuKMMoy6wz6Q5iv1uuDVc,0.688,0.776,2,-13.531,1,0.0457,0.573,0,0.173,0.353,115.443,184427,4
63SAK1QfBnSgNdmcUJbUNK,0.339,0.908,2,-6.2,1,0.111,0.0356,0,0.738,0.436,169.757,225627,4
7gdLssXkHqud7CaPvJXpN8,0.711,0.772,6,-9.992,0,0.0315,0.233,0,0.24,0.924,138.919,209333,4
5bHHfNEUp1p1ReV5zUhMVx,0.313,0.958,4,-4.079,0,0.15,0.0397,0,0.91,0.539,152.686,254050,4
35J9vakuC3f18QTolNAQ6E,0.723,0.611,7,-7.006,1,0.0303,0.481,0,0.11,0.261,111.813,175373,4
4Eu11AEW4PK9Rtc3TkTwl7,0.663,0.589,4,-3.866,1,0.0268,0.144,0,0.283,0.211,115.236,182187,4
1RxAzmAuN6KldKrMeVKkf2,0.544,0.805,7,-9.591,1,0.0334,0.0335,0,0.67,0.654,127.793,222427,4
2l9m7wvaWabz7NhaTwBFbZ,0.65,0.368,0,-7.397,1,0.0407,0.642,0,0.104,0.511,175.942,203625,4
5Kayf37CYgsWqgkWMTHZPu,0.57,0.848,5,-8.234,1,0.0365,0.0741,0,0.698,0.632,89.169,296773,4
1mK7rqBmWWFvU1huYnsPGq,0.621,0.82,9,-8.63,0,0.0294,0.2,0,0.0396,0.96,146.664,174973,4
0t6WbXD9u6rnXseu9YcWqk,0.519,0.747,2,-5.412,1,0.0265,0.141,0,0.161,0.751,89.13,251027,4
1baWTzEA3bHpK2nMmomDmj,0.581,0.704,9,-8.962,1,0.0838,0.206,0,0.942,0.704,167.415,264293,4
11kmPqb02yGcZtLilUoHMd,0.708,0.832,11,-3.652,1,0.212,0.382,0,0.334,0.806,176.349,237107,4
6uUORbJHSVvBoX6qp9cDda,0.619,0.809,9,-7.782,0,0.029,0.294,0,0.0378,0.937,146.627,176560,4
2iUxWUv5TovjBmayOcWohB,0.578,0.62,2,-5.837,1,0.0249,0.00577,0,0.104,0.426,88.114,232240,4
5fphkEmVP9cTdU0LbuqLQO,0.588,0.922,11,-3.259,1,0.0525,0.0597,0,0.141,0.549,111.968,271227,4
1jiegRk1i62WYyCcmmCSRB,0.566,0.499,11,-8.886,0,0.0255,0.0194,0,0.298,0.366,106.093,222040,4
7o7MExeF7niW4VFiie5Zxh,0.671,0.77,2,-4.12,1,0.0309,0.00265,0,0.249,0.437,136.076,191520,4
57wrj5gmY8aZA4YBmqfitc,0.635,0.926,1,-2.687,0,0.03,0.0161,0,0.0999,0.336,95.97,212720,4
2Y0R8ey56JBZj6Au3HenCq,0.661,0.695,7,-3.97,1,0.0256,0.00269,0,0.12,0.419,99.958,288680,4
2hTbrjvtzS4SUdnt6pc5CH,0.521,0.707,9,-7.301,1,0.0312,0.129,0,0.175,0.351,95.329,353320,4
7d1ASp9Z05JONXJarh5bKQ,0.675,0.836,7,-4.702,1,0.0279,0.00211,0,0.383,0.296,104.012,219720,4
64RaXiW92dbX2uQ0pY6rkj,0.297,0.749,7,-5.726,1,0.0328,0.0123,0,0.133,0.326,91.822,258067,4
2pBEAodCImE4LgbKAG4bfz,0.582,0.899,5,-3.531,1,0.143,0.528,0,0.247,0.612,156.621,181279,4
2Nlf97QqqcZ2x9Qb4h1Qt2,0.719,0.793,0,-4.402,0,0.0421,0.352,0,0.557,0.766,120.108,147397,4
2E8Shaw5menB7ImgCQA4th,0.801,0.812,2,-5.097,1,0.132,0.33,0,0.208,0.76,140.062,161678,4
4Z20Nlp53CuArdsy0VbeTb,0.555,0.654,2,-6.824,1,0.0327,0.537,0,0.916,0.42,95.856,346333,3
2SQHZ3VZ3IiSogQQLwkIl8,0.434,0.715,0,-4.091,1,0.0847,0.384,0,0.468,0.673,149.447,188811,4
6cXfVLlxp3ahOSCmV1V3AW,0.611,0.794,7,-5.007,1,0.0286,0.556,0,0.944,0.609,104.744,228293,4
3pANwjrypucSkTOQdSFbEK,0.549,0.738,9,-5.362,1,0.0307,0.388,0,0.821,0.521,149.624,184240,4
5mFn4teAi2HMi7kRHliyFL,0.462,0.669,5,-4.19,1,0.0654,0.516,0,0.119,0.559,175.836,157202,3
7GLWWrk1YlkPYqJK3ynIA0,0.752,0.62,5,-5.536,1,0.0509,0.309,0,0.075,0.962,117.399,164459,4
158ukl5rih76dOEsp0I91H,0.686,0.789,1,-4.103,1,0.126,0.322,0,0.4,0.822,157.932,157355,4
0RaIjuKU5hudMteEXwr4RS,0.666,0.846,1,-3.654,1,0.174,0.0883,0,0.084,0.782,144.479,166388,4
2PWjKmjyTZeDpmOUa3a5da,0.528,0.87,11,-3.123,1,0.0851,0.24,0,0.333,0.714,152.37,181930,4
6QwFUcPc5nhsqZuhXUYtV7,0.637,0.877,4,-3.68,0,0.198,0.469,0,0.343,0.691,118.889,175219,4
3apM8wi1gU3PeVWvEPskv3,0.728,0.706,8,-4.866,1,0.0254,0.613,0,0.0994,0.702,104.017,216555,4
77thl1ZG6v86i7us2LztP8,0.778,0.654,7,-4.245,1,0.0783,0.351,0,0.103,0.824,137.978,154848,4
74n5d5M21JnC4WJ6gdkggK,0.614,0.782,2,-4.603,1,0.0605,0.381,0,0.399,0.77,167.95,141935,4
7x2PPGgAptvKQI2Aw8XIY0,0.655,0.648,7,-9.447,1,0.0281,0.359,0,0.0908,0.53,95.913,194440,4
3pIsUJiw8AAn39ESoCAWeH,0.692,0.869,9,-4.165,1,0.0327,0.3,0,0.104,0.463,124.995,294720,4
56F3ngwk3a42aLY0o5QgBF,0.818,0.919,2,-3.013,1,0.0694,0.283,0,0.318,0.949,160.002,140629,4
